Date,Nadal,Federer,Djokovic
01/01/2018,0,0,0
01/08/2018,0,0,0
01/15/2018,0,0,0
01/22/2018,0,0,0
01/29/2018,360,2000,180
02/05/2018,360,2000,180
02/12/2018,360,2000,180
02/19/2018,360,2500,180
02/26/2018,360,2500,180
03/05/2018,360,2500,180
03/12/2018,360,2500,180
03/19/2018,360,3100,190
03/26/2018,360,3100,190
04/02/2018,360,3110,200
04/09/2018,360,3110,200
04/16/2018,360,3110,200
04/23/2018,1360,3110,245
04/30/2018,1860,3110,290
05/07/2018,1860,3110,290
05/14/2018,2040,3110,300
05/21/2018,3040,3110,660
05/28/2018,3040,3110,660
06/04/2018,3040,3110,660
06/11/2018,5040,3110,1020
06/18/2018,5040,3360,1020
06/25/2018,5040,3660,1320
07/02/2018,5040,3660,1320
07/09/2018,5040,3660,1320
07/16/2018,5760,4020,3320
07/23/2018,5760,4020,3320
07/30/2018,5760,4020,3320
08/06/2018,5760,4020,3320
08/13/2018,6760,4020,3365
08/20/2018,6760,4620,4365
08/27/2018,6760,4620,4365
09/03/2018,6760,4620,4365
09/10/2018,7480,4800,6365
09/17/2018,7480,4800,6365
09/24/2018,7480,4800,6365
10/01/2018,7480,4800,6365
10/08/2018,7480,4800,6365
10/15/2018,7480,5160,7365
10/22/2018,7480,5160,7365
10/29/2018,7480,5660,7365
11/05/2018,7480,6020,7965
11/12/2018,7480,6020,7965
11/19/2018,7480,6420,9045
11/26/2018,7480,6420,9045
