Year,Player,career_elo,elo_1,diff,,
1973,Nastase,1720,2297,577,,
1974,Connors,1905,2373,468,,
1975,Connors,1905,2347,442,,
1976,Connors,1905,2419,514,,
1977,Connors,1905,2386,481,,
1978,Connors,1905,2479,574,,
1979,Borg,2458,2533,75,,
1980,Borg,2458,2538,80,,
1981,Mcenroe,2083,2440,357,,
1982,Mcenroe,2083,2435,352,,
1983,Mcenroe,2083,2405,322,,
1984,Mcenroe,2083,2548,465,,
1985,Lendl,1993,2465,472,,
1986,Lendl,1993,2490,497,,
1987,Lendl,1993,2502,509,,
1988,Wilander,1897,2302,405,,
1989,Lendl,1993,2433,440,,
1990,Edberg,2085,2351,266,,
1991,Edberg,2085,2317,232,,
1992,Courier,1960,2231,271,,
1993,Sampras,2142,2311,169,,
1994,Sampras,2142,2349,207,,
1995,Sampras,2142,2340,198,,
1996,Sampras,2142,2357,215,,
1997,Sampras,2142,2343,201,,
1998,Sampras,2142,2260,118,,
1999,Agassi,2132,2286,154,,
2000,Kuerten,1788,2192,404,,
2001,Hewitt,1887,2265,378,,
2002,Hewitt,1887,2257,370,,
2003,Roddick,2085,2223,138,,
2004,Federer,2366,2420,54,,
2005,Federer,2366,2485,119,,
2006,Federer,2366,2532,166,,
2007,Federer,2366,2483,117,,
2008,Nadal,2407,2411,4,,
2009,Federer,2366,2384,18,,
2010,Nadal,2407,2409,2,,
2011,Djokovic,2424,2446,22,,
2012,Djokovic,2424,2490,66,,
2013,Nadal,2407,2538,131,,
2014,Djokovic,2424,2534,110,,
2015,Djokovic,2424,2603,179,,
2016,Murray,2242,2500,258,,
2017,Nadal,2407,2350,-57,,
2018,Djokovic,2424,2401,-23,,
