Year,Player,Points,T_played,,,
2000,Gustavo Kuerten,4195,23,,,
2001,Lleyton Hewitt,4365,22,,,
2002,Lleyton Hewitt,4485,21,,,
2003,Andy Roddick,4535,23,,,
2004,Roger Federer,6335,20,,,
2005,Roger Federer,6725,19,,,
2006,Roger Federer,8370,19,,,
2007,Roger Federer,7180,16,,,
2008,Rafael Nadal,6675,19,,,
2009,Roger Federer,10550,19,,,
2010,Rafael Nadal,12450,20,,,
2011,Novak Djokovic,13630,19,,,
2012,Novak Djokovic,12920,18,,,
2013,Rafael Nadal,13030,20,,,
2014,Novak Djokovic,11360,17,,,
2015,Novak Djokovic,16585,18,,,
2016,Andy Murray,12410,16,,,
2017,Rafael Nadal,10645,18,,,
2018,Novak Djokovic,9045,17,,,
