Name,Jabs Landed,PP Landed,Jabs Thrown,PP Thrown,Pct Jab,Pct PP,PPThrownDiff,Result,,
Canelo,5,5,13,10,38.5,50,2,W,,
Canelo,7,7,22,20,31.8,35,5,W,,
Canelo,2,11,18,22,11.1,50,-9,W,,
Canelo,8,5,25,17,53.3,29.4,-16,L,,
Canelo,5,9,20,23,25,39.1,-11,L,,
Canelo,7,8,25,21,28,38.1,-15,L,,
Canelo,8,4,25,13,32,30.8,-11,L,,
Canelo,1,10,18,22,5.6,45.5,-8,L,,
Canelo,9,11,16,26,12.5,42.3,-2,L,,
Canelo,10,15,16,38,18.8,39.5,3,W,,
Canelo,11,10,24,17,12.5,58.8,-13,W,,
Canelo,12,19,21,43,19,44.2,5,W,,
Golovkin,13,2,25,8,52,25,-2,L,,
Golovkin,7,5,23,15,30.4,33.3,-5,L,,
Golovkin,7,8,32,31,21.9,25.8,9,L,,
Golovkin,9,9,28,33,32.1,27.3,16,W,,
Golovkin,5,13,40,34,12.5,38.2,11,W,,
Golovkin,4,12,27,36,14.8,33.3,15,W,,
Golovkin,9,7,34,24,26.5,29.2,11,W,,
Golovkin,12,9,35,30,34.3,30,8,W,,
Golovkin,11,13,30,28,36.7,46.4,2,W,,
Golovkin,12,11,30,35,40,31.4,-3,L,,
Golovkin,8,9,30,30,26.7,30,13,L,,
Golovkin,11,12,27,38,40.7,31.6,-5,L,,
Canelo,9,3,29,7,31,42.9,3,L,,
Canelo,5,7,31,17,16.1,41.2,0,W,,
Canelo,5,7,23,18,21.7,38.9,-10,W,,
Canelo,4,10,26,32,15.4,31.3,-2,L,,
Canelo,6,8,19,24,31.6,33.3,-2,L,,
Canelo,9,14,25,31,36,45.2,3,W,,
Canelo,7,16,26,37,26.9,43.2,8,W,,
Canelo,4,12,21,30,19,40,-3,W,,
Canelo,2,15,17,44,11.8,34.1,6,L,,
Canelo,2,18,14,42,14.3,42.9,9,L,,
Canelo,4,14,14,31,28.6,45.2,0,L,,
Canelo,2,19,11,53,18.2,35.8,22,W,,
Golovkin,13,1,43,4,30.2,25,-3,W,,
Golovkin,10,9,47,17,21.3,52.9,0,L,,
Golovkin,7,9,37,28,18.9,32.1,10,L,,
Golovkin,14,9,53,34,26.4,26.5,2,W,,
Golovkin,10,12,41,26,24.4,46.2,2,W,,
Golovkin,10,6,40,28,25,21.4,-3,L,,
Golovkin,11,10,43,29,25.6,34.5,-8,L,,
Golovkin,11,10,49,33,22.4,30.3,3,L,,
Golovkin,5,13,42,38,11.9,34.2,-6,W,,
Golovkin,11,15,50,33,22,45.5,-9,W,,
Golovkin,6,12,44,31,13.6,38.7,0,W,,
Golovkin,10,10,58,31,17.2,32.3,-22,L,,
